ADDRESS,BUILDING TYPE,DWELLING UNITS,YEAR BUILT,LOT AC,LOT SF,BUILDING SF,FAR,BASEMENT SF,GROUND FLOOR SF,HEIGHT
1544 SE HAWTHORNE BLVD,DUPLEX,4,1913,0.1928,8400,5824,0.693333333,1593,2136,
1842 SE HAZEL ST,SINGLE FAMILY RESIDENCE,1,1924,0.079,3440,2040,0.593023256,704,704,
,COMMERCIAL,0,,0.1618,7047,,0,,,
1927 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1996,0.1175,5120,4397,0.858789063,1440,1453,
2217 SE ORANGE AVE # 2221,DUPLEX,1,1924,0.1175,5120,4005,0.782226563,1215,1395,
2252 SE SPRUCE AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2384,0.465625,900,1184,
1853 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,3746,0.731640625,1126,1126,
,SINGLE FAMILY RESIDENCE,1,,0.1175,5120,,0,,,
2005 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1165,5074,2800,0.551832873,1200,1200,
2004 SE SPRUCE AVE,SINGLE FAMILY RESIDENCE,1,1911,0.1175,5120,3843,0.750585938,1082,1117,
1904 SE ELLIOTT AVE # 1906,DUPLEX,1,1906,0.1175,5120,3156,0.61640625,784,1168,
1991 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1929,0.1481,6450,3113,0.482635659,1115,1298,
,VACANT,0,,0.2296,10000,,0,,,
1988 SE LADD AVE,RETAIL,0,1924,0.1561,6800,4172,0.613529412,,4172,
1818 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1236,5385,3037,0.563974002,868,1301,
2119 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1911,0.1165,5074,3239,0.638352385,840,1131,
1304 SE PALM ST # 1310,DUPLEX,1,1924,0.1249,5440,2808,0.516176471,900,1140,
1410 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1924,0.0606,2640,1313,0.497348485,500,813,
2328 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2408,0.4703125,728,1156,
2406 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2230,0.435546875,532,1166,
1852 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1931,0.1175,5120,2070,0.404296875,830,886,
1643 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1175,5120,3828,0.74765625,1176,1176,
1651 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1930,0.1469,6400,2086,0.3259375,772,894,
1311 SE HARRISON ST # 1315,DUPLEX,1,1924,0.0645,2810,1920,0.683274021,640,1280,
2456 SE TAMARACK AVE # 2460,DUPLEX,1,1925,0.2351,10240,10264,1.00234375,5132,5132,
2125 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,2212,0.43203125,936,936,
2063 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1763,7680,2606,0.339322917,900,1106,
1912 SE 12TH AVE # 1918,DUPLEX,3,1925,0.1734,7552,4302,0.569650424,1482,1482,
,CONDOMINIUM,2,,,,,0,,,
1718 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1910,0.281,12240,5157,0.421323529,1292,1538,
1823 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1948,0.1175,5120,3112,0.6078125,1164,1164,
1904 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1928,0.1175,5120,2349,0.458789063,957,957,
1801 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2972,0.58046875,1100,1088,
1708 SE MAPLE AVE,SINGLE FAMILY RESIDENCE,1,1922,0.0784,3416,2130,0.6235363,1024,1106,
1821 SE HAZEL ST,SINGLE FAMILY RESIDENCE,1,1925,0.0771,3360,2716,0.808333333,1142,1142,
1722 SE MULBERRY AVE # 1724,DUPLEX,3,1961,0.1175,5120,1632,0.31875,,1632,
1919 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1928,0.1469,6400,3127,0.48859375,1245,1282,
1431 SE PALM ST,SINGLE FAMILY RESIDENCE,1,1948,0.1175,5120,2238,0.437109375,1119,1119,
1720 SE 12TH AVE # 1742,RETAIL,0,1927,0.1557,6784,7037,1.037293632,1160,5877,
2041 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1763,7680,4208,0.547916667,1344,1488,
2010 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1956,0.1175,5120,1000,0.1953125,,1000,
1903 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,3230,0.630859375,1021,1021,
1744 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1922,0.1175,5120,2584,0.5046875,1092,1092,
1507 SE DIVISION ST # 1511,DUPLEX,1,1964,0.1175,5120,1960,0.3828125,,1960,
1614 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1175,5120,2082,0.406640625,766,916,
1918 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1914,0.1234,5376,3269,0.608072917,884,1013,
1621 SE HICKORY ST,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,1528,0.2984375,594,934,
2058 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1952,0.1322,5760,1652,0.286805556,460,1192,
1918 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,3734,0.729296875,972,1154,
2336 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1175,5120,2152,0.4203125,600,1072,
2329 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1942,0.1763,7680,3157,0.411067708,1156,1525,
2320 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1923,0.079,3440,2332,0.677906977,936,1092,
1919 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,1,1943,0.14,6100,1847,0.302786885,390,1157,
2128 SE HEMLOCK AVE # A,SINGLE FAMILY RESIDENCE,1,1916,0.1165,5074,4528,0.89239259,1232,1336,
1549 SE HICKORY ST,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1474,0.287890625,700,774,
1955 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1329,5789,4378,0.756261876,1200,1378,
