ADDRESS,BUILDING TYPE,DWELLING UNITS,YEAR BUILT,LOT AC,LOT SF,BUILDING SF,FAR,BASEMENT SF,GROUND FLOOR SF,HEIGHT
2100 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1955,0.1165,5074,2204,0.434371305,1102,1102,
1955 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2944,0.575,1190,1254,
1951 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1911,0.1571,6844,4362,0.637346581,1656,1656,
2404 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1856,0.3625,520,936,
1620 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1923,0.1175,5120,2820,0.55078125,900,968,
1952 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1924,0.084,3660,2553,0.697540984,980,973,
1818 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,3,1910,0.1175,5120,3088,0.603125,780,1020,
2218 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1033,4500,2148,0.477333333,676,1172,
1500 SE HICKORY ST,SINGLE FAMILY RESIDENCE,1,1924,0.0636,2772,1468,0.52958153,700,768,
2305 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1322,5760,2104,0.365277778,700,1404,
1331 SE BIRCH ST,SINGLE FAMILY RESIDENCE,1,1926,0.0753,3280,2492,0.759756098,800,846,
2225 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0966,4209,1692,0.401995723,600,1092,
1804 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1925,0.0735,3200,2310,0.721875,774,1024,
1928 SE ELLIOTT AVE,DUPLEX,1,1923,0.1175,5120,3773,0.736914063,1130,1293,
1581 SE MAPLE AVE # A,SINGLE FAMILY RESIDENCE,1,1913,0.1175,5120,3509,0.685351563,1064,1070,
2470 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1872,0.365625,728,1144,
1426 SE HAWTHORNE BLVD,COMMERCIAL,0,1940,0.3177,13840,6724,0.48583815,,6724,
2107 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1022,4450,1982,0.445393258,588,1009,
1321 SE PALM ST,SINGLE FAMILY RESIDENCE,2,1924,0.0738,3213,2787,0.867413632,1121,1166,
2021 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1927,0.1165,5074,2864,0.564446196,1124,1124,
1974 SE LADD AVE # 1978,DUPLEX,1,1924,0.1309,5700,1552,0.272280702,140,1412,
1844 SE 12TH AVE,SINGLE FAMILY RESIDENCE,2,1910,0.1436,6254,4140,0.661976335,1140,1140,
1436 SE HAWTHORNE BLVD,COMMERCIAL,0,1968,0.2824,12300,5500,0.447154472,,5500,
2228 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,1982,0.387109375,504,1078,
1820 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1911,0.124,5400,3488,0.645925926,960,1076,
1924 SE 12TH AVE,CONDOMINIUM,1,1923,,,1844,0,582,611,
2117 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2416,0.471875,1008,1008,
2047 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1165,5074,2322,0.457627119,900,900,
1968 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,1,1908,0.1175,5120,3778,0.737890625,800,1716,
1318 SE PALM ST # 1322,DUPLEX,1,1924,0.1102,4800,3214,0.669583333,918,1368,
1861 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2536,0.4953125,920,920,
1829 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,1,1924,0.09,3920,1844,0.470408163,700,1144,
1727 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,3976,0.7765625,1204,1232,
1806 SE 12TH AVE,DUPLEX,2,1925,0.1165,5074,4334,0.854158455,1600,2734,
2244 SE SPRUCE AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2139,0.417773438,1064,1075,
2313 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1028,4480,1825,0.407366071,408,1057,
2029 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1932,0.1175,5120,3268,0.63828125,1160,1335,
2109 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1165,5074,2856,0.562869531,1228,1228,
2422 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2010,0.392578125,500,1092,
1401 SE DIVISION ST,COMMERCIAL,0,1927,0.1125,4900,2556,0.521632653,,1278,
1833 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1920,0.1354,5900,3568,0.604745763,1284,1320,
,CONDOMINIUM,3,,,,,0,,,
1980 SE LADD AVE # 1984,DUPLEX,1,1924,0.1042,4540,1400,0.308370044,168,1232,
2107 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1915,0.1175,5120,3876,0.75703125,1064,1248,
1904 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1904,0.1517,6608,4078,0.617130751,1102,1288,
1954 SE HEMLOCK AVE,DUPLEX,1,1916,0.1165,5074,4053,0.798778084,1124,1277,
1235 SE DIVISION ST,COMMERCIAL,0,1947,0.4844,21100,25693,1.217677725,,25693,
2117 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1165,5074,2530,0.498620418,1015,1015,
2124 SE ELLIOTT AVE,DUPLEX,1,1925,0.1322,5760,4356,0.75625,1316,1572,
1845 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1950,0.1175,5120,2377,0.464257813,783,1054,
1309 SE DIVISION ST,COMMERCIAL,0,1927,0.1435,6250,6187,0.98992,,6187,
2260 SE SPRUCE AVE,SINGLE FAMILY RESIDENCE,1,1911,0.1175,5120,3431,0.670117188,988,1006,
1623 SE LADD AVE # 1627,DUPLEX,1,1923,0.1469,6400,3768,0.58875,1364,1612,
1742 SE ELLIOTT AVE # 1748,DUPLEX,2,1924,0.0735,3200,3872,1.21,1136,1536,
1742 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,3,1916,0.1175,5120,2895,0.565429688,780,795,
2315 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1925,0.079,3440,2448,0.711627907,1024,1024,
1615 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1908,0.1469,6400,3600,0.5625,952,994,
2028 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1916,0.1165,5074,4620,0.910524241,1272,1572,
2136 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2340,0.45703125,780,1144,
1802 SE 12TH AVE,DUPLEX,2,1925,0.1165,5074,4334,0.854158455,1600,2734,
1555 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1904,0.1175,5120,3352,0.6546875,864,908,
2121 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2544,0.496875,1008,1056,
1939 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1911,0.1264,5504,4648,0.844476744,1288,1288,
2038 SE 12TH AVE,SINGLE FAMILY RESIDENCE,3,1926,0.1165,5074,2412,0.475364604,624,1172,
2117 SE ORANGE AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,1979,0.386523438,400,1142,
1720 SE LADD AVE,SINGLE FAMILY RESIDENCE,3,1925,0.1175,5120,,0,,,
1212 SE HAWTHORNE BLVD # 1218,COMMERCIAL,0,1965,0.1408,6132,1210,0.197325506,,1210,
2026 SE LARCH AVE # 2030,DUPLEX,1,1947,0.1292,5628,3608,0.641080313,1624,1984,
1829 SE LADD AVE # 1831,DUPLEX,1,1923,0.1175,5120,2654,0.518359375,728,963,
2125 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2016,0.39375,1008,1008,
1971 SE LOCUST AVE,DUPLEX,1,1924,0.1175,5120,2792,0.5453125,864,1128,
2034 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1175,5120,3088,0.603125,896,896,
